region,production_mt,area_ha,yield_kgha,safra_year,sheet
NORTE,41747.5,41747.5,56.4201449188574,2026,1 Café Total
RO,40762.0,40762.0,56.92066140032383,2026,1 Café Total
AM,985.5,985.5,35.71790969051243,2026,1 Café Total
NORDESTE,103245.0,103245.0,42.951232505206065,2026,1 Café Total
BA,103245.0,103245.0,42.951232505206065,2026,1 Café Total
Cerrado,6000.0,6000.0,44.166666666666664,2026,1 Café Total
Planalto,50245.0,50245.0,17.50422927654493,2026,1 Café Total
Atlântico,47000.0,47000.0,70.0,2026,1 Café Total
CENTRO-OESTE,17404.0,17404.0,28.39577108710641,2026,1 Café Total
MT,11825.0,11825.0,23.568710359408033,2026,1 Café Total
GO,5579.0,5579.0,38.62699408496146,2026,1 Café Total
SUDESTE,1666030.0,1666030.0,29.030269562973057,2026,1 Café Total
MG,1077804.0,1077804.0,23.895903151222303,2026,1 Café Total
Sul e Centro-Oeste,521815.0,521815.0,23.114130486858368,2026,1 Café Total
"Triângulo, Alto Paranaiba e Noroeste",195941.0,195941.0,24.352228476939487,2026,1 Café Total
"Zona da Mata, Rio Doce e Central",330450.0,330450.0,24.33045846572855,2026,1 Café Total
"Norte, Jequitinhonha e Mucuri",29598.0,29598.0,29.80606797756605,2026,1 Café Total
ES,379822.0,379822.0,45.93730747560699,2026,1 Café Total
RJ,12379.0,12379.0,34.11422570482269,2026,1 Café Total
SP,196025.0,196025.0,24.180079071546995,2026,1 Café Total
SUL,25404.0,25404.0,29.467800346402143,2026,1 Café Total
PR,25404.0,25404.0,29.467800346402143,2026,1 Café Total
OUTROS (*),4863.0,4863.0,28.233600658030024,2026,1 Café Total
NORTE/NORDESTE,144992.5,144992.5,46.82931875786679,2026,1 Café Total
CENTRO-SUL,1708838.0,1708838.0,29.030311825930838,2026,1 Café Total
PA,0.0,0.0,,2026,5 Café Arábica - Área
Planalto(**),921.3,,,2026,10 % Colheita
